X,Y,Label
-2.162040352368133,-0.7101265790754372,2
-3.6464317253742777,0.7146885319769449,2
1.3925167654387725,3.184633858532304,1
-2.9698607774116086,-0.5939748938184963,2
2.2436492547156965,1.5777462904023258,1
1.4848089378014477,4.3668742674445244,1
-1.3879682793929748,-5.250697598212297,2
1.2212797510957214,4.496044311489183,1
2.553566385449472,3.1940899928983075,1
-3.9448984273886145,-0.944541615405138,2
3.2449665711087228,2.4930568246288702,1
-2.4710041258268047,-7.458128425953998,2
-2.4435276313409573,-1.4387252072848586,2
-0.6819387834273378,-4.797070965768093,2
-5.793731610152255,-2.855830825675052,2
-2.0875273676949258,-1.8347348255440339,2
2.0767667538890957,1.6483153943836664,1
-4.4350827310552345,-4.300678064803373,2
0.6793355450709844,-2.4616595248643534,2
3.614166700043425,3.757507710047305,1
4.037539944257899,2.489983601145253,1
2.124381746615243,1.617200269035664,1
2.3534271157574733,1.918451996385605,1
-3.856610259043096,1.8238878132802796,2
-2.942594679779809,-2.890745561366305,2
3.045571839903814,2.348399652394183,1
4.586016816145352,1.762184501173151,1
-3.1669741121601973,-0.05484117523884802,2
-3.1721769775407718,-3.18487963397058,2
-1.2764104600267079,0.42286291773489104,2
3.082283989275424,4.065480375065351,1
-1.1404301463810325,0.6051637835075545,2
2.559955513303016,3.1307405772860912,1
-3.640961254206535,-3.380544384690882,2
3.8231705839619146,3.073317967188404,1
-4.814425003866698,-2.8282210294291854,2
2.5499345285207564,3.6228499323474987,1
2.6390338341809203,4.159329803364248,1
-3.7533527521374106,-1.8515552484589775,2
1.2966175606448453,2.9444523011033814,1
-2.176789533128451,-0.26968565398752986,2
-3.1835941942397765,-3.414315800642348,2
-3.2960283831539763,0.2896368587563365,2
2.904704467613048,3.2790215257703395,1
3.478979825746392,3.3336621052869484,1
2.0094636748693118,2.433702270397228,1
-3.6843179091598386,-4.4566149378491104,2
3.7109599682034915,3.44426331148604,1
-2.720551959124446,-0.05421731608682778,2
3.721672064043235,1.8709482287827708,1
4.477894044741516,2.4817297817263526,1
2.922898290585896,3.341151974816644,1
3.5906548306923094,4.108703580582908,1
2.910264305712773,4.440117215449472,1
3.7472936051232617,3.610370265433465,1
-0.6028358297082033,-2.902501965925904,2
-3.034217754707875,-2.0972320734452103,2
2.813128355838641,2.560268941725825,1
3.243800713771199,2.4359213692632715,1
3.166452208213056,3.492451264008149,1
-0.06303483601728121,-3.719197838468694,2
-1.6878359071535247,-4.43895050789037,2
-0.5257248413724809,-6.136320733343684,2
3.624119817052155,3.62834550926428,1
2.8482149049644168,3.5883172064845765,1
3.0245101742589426,3.49799829124545,1
3.3665982460968484,2.060120213672645,1
3.361395605508414,4.538036566465969,1
-1.070814102949524,-2.499312775108416,2
-0.09026200221251379,-1.6155289838337306,2
2.8230527725059504,2.2017027554615463,1
-3.698277256417727,-0.7722796679886854,2
-2.5939451114865273,-0.8687216947246523,2
-2.670182584202972,-1.4163844069525302,2
2.6572854834732307,2.197722730778381,1
4.550500492814077,2.001645959261209,1
2.284696290740032,3.679597748934676,1
3.2560297343138758,3.982690983945514,1
-2.3668326514151166,-3.2399348881249272,2
-0.25794031305328335,-2.717406669166381,2
4.846636996047666,1.9299152336738474,1
3.198084760767855,2.8556395880760577,1
4.1428228145150205,3.7519330326867744,1
